,id,role_0,role_1,role_2
332,5733,2874,1894,25
333,80125,989,329,26
334,6160,9829,4765,3011
335,6207,1641,713,707
336,9261,4778,559,101
337,51465,348,20,3
338,10492,14467,21771,3824
339,339344,160,0,0
340,79980,2381,320,52
341,6098,23,0,0
342,5781,4592,3735,273
343,4223,792,2308,54
344,8675,570,28,16
345,23790,431,280,8
346,154810,1151,89,30
347,6310,6255,11222,215
348,440,2563,650,78
349,5184,441,27,2
350,6195,3097,1171,90
351,10073,379,25,3
352,8022,1494,784,12
353,83543,26,4,0
354,27153,539,12,0
355,171483,284,178,2
356,51019,1751,541,48
357,200081,583,58,14
358,6143,9033,3664,3260
359,8886,8910,2037,1542
360,9099,1107,80,12
361,83878,3080,6022,222
362,155945,1629,428,24
363,7037,4474,854,58
364,8945,1119,1306,52
365,2175,2851,531,74
366,26121,1449,949,315
367,7379,5,0,0
368,8600,124,19,0
369,6813,68,11,2
370,6844,1953,695,72
371,663,698,122,5
372,10613,1101,347,17
373,4627,11259,13032,1022
374,5756,714,0,2
375,5216,4255,603,77
376,54557,109,0,0
377,55027,1010,115,3
378,80279,218,17,3
379,23376,778,22,0
380,661,1020,105,35
381,246184,384,96,92
382,51434,2374,611,118
383,1208,13,0,0
384,5406,91,10,1
385,4691,2035,2697,843
386,7307,1507,899,685
387,128553,228,8,1
388,84248,1607,232,21
389,579,14,0,0
390,7091,1391,114,20
391,4694,602,92,350
392,4710,1059,443,360
393,2296,3199,197,33
394,57459,572,200,30
395,57418,1084,112,257
396,55294,718,79,20
397,29079,595,529,29
398,975,8309,4782,565
399,6155,1165,538,536
400,4141,637,99,17
401,7030,591,47,2
402,7917,8353,11674,246
403,84292,5711,2951,780
404,64949,606,0,11
405,55720,375,85,18
406,2118,661,15,1
407,4811,1150,76,7
408,60490,376,27,0
409,705,6367,3558,168
410,8548,611,75,15
411,79843,291,48,6
412,5350,84,0,0
413,203562,31,67,2
414,5469,3672,1275,336
415,10014,14354,14316,1238
416,99100,1510,832,18
417,9886,180,0,0
418,68734,33,0,0
419,988,8250,9303,2617
420,138046,154,0,1
421,1993,1143,9,4
422,3881,626,1400,43
423,5694,516,64,45
424,10055,796,31,11
425,7533,8502,10886,1129
426,5062,6466,2356,158
427,79902,2341,270,51
428,9972,733,149,26
429,9948,3816,1176,128
430,8761,1226,156,63
431,1875,350,0,0
432,10672,101,0,1
433,7046,3685,12227,225
434,56455,1223,520,36
435,140710,1171,160,15
436,132141,135,24,0
437,2052,497,118,0
438,1457,14949,40346,1407
439,10772,1071,143,137
440,81833,416,344,3
441,5337,1675,186,22
442,64375,119,5,3
443,131,990,42,18
444,224,146,81,12
445,9136,809,117,22
446,55272,386,51,6
447,286753,884,431,4
448,25945,1187,159,30
449,56288,379,34,14
450,3183,13744,12565,3949
451,9863,113,12,1
452,84630,15,0,0
453,4695,2421,954,325
454,4707,625,30,43
455,26227,7366,1643,166
456,2885,2959,9251,566
457,8451,10461,14850,1845
458,9169,1292,93,29
459,6602,5445,4751,282
460,64599,1963,235,17
461,6772,1313,899,61
462,7852,1827,209,21
463,10236,11396,6883,1621
464,1398,8029,17089,524
465,166,7920,10800,514
466,54915,717,52,5
467,221150,959,104,5
468,64210,958,341,22
469,64428,991,3,0
470,50875,2024,775,119
471,85464,1329,35,27
472,54487,1063,35,12
473,9987,1171,257,72
474,57082,46,11,4
475,5478,5107,1295,96
476,79800,989,2,1
477,1994,22199,416976,3994
478,6175,2368,1262,870
479,51362,4380,895,2249
480,9444,2530,557,58
481,8939,1000,75,9
482,2593,15,0,0
483,10667,3033,584,33
484,170954,4337,1519,120
485,8894,2790,484,55
486,9493,1233,156,72
487,2130,2537,3422,291
488,2185,2201,824,96
489,84527,124,0,1
490,386680,1928,1814,269
491,84996,79,10,2
492,337879,148,0,4
493,64326,913,61,25
494,8454,18103,58942,4038
495,23405,7896,3285,2079
496,4839,7196,1422,563
497,6193,9790,4907,3018
498,282322,97,0,0
499,6462,1182,394,4
500,63893,3226,684,41
501,2542196,132,0,0
502,6634,2093,468,297
503,74764,3,0,0
504,3799,4890,1938,104
505,6733,9838,26033,721
506,8926,2395,134,28
507,55064,3,0,0
508,2802,1654,173,7
509,282323,6,0,0
510,5577,191,0,1
511,151194,331,15,7
512,3313,2701,354,164
513,83660,953,58,3
514,23543,834,121,30
515,6311,2453,417,18
516,595,1499,215,39
517,5000,727,34,4
518,10450,1048,128,409
519,3550,2141,555,366
520,23345,6531,1473,1696
521,6134,2156,1902,860
522,1677,791,6,2
523,4082,2300,174,19
524,10399,12214,8158,1496
525,920,4656,905,481
526,2624,1005,49,11
527,161882,360,10,0
528,4240,77,0,0
529,3693,399,29,6
530,85451,7672,9413,361
531,54940,1212,23,2
532,2335,18077,60416,3201
533,6218,7448,1312,1705
534,23243,483,83,10
535,8897,341,15,3
536,3727,2909,279,41
537,4779,414,60,8
538,226,4874,2091,169
539,10551,1845,394,9
540,80012,946,79,44
541,51400,2226,828,62
542,1936,2187,586,70
543,51265,2177,116,7
544,26088,3359,491,53
545,56970,586,15,3
546,389856,38,0,0
547,55832,3375,6307,1074
548,1832,421,158,2
549,5079,1968,371,16
550,639,695,18,2
551,861,826,128,17
552,84705,582,66,0
553,26003,3940,2392,60
554,6117,3180,2295,433
555,5557,391,0,5
556,10449,755,82,7
557,6342,1541,190,21
558,22974,368,34,0
559,3551,1488,778,93
560,23081,341,5,0
561,3065,1988,3134,299
562,64112,526,37,1
563,84217,82,25,0
564,7112,874,156,16
565,1105,2162,72,15
566,220134,512,18,7
567,3796,2586,533,19
568,10266,18,0,0
569,10268,137,0,1
570,80067,464,4,5
571,8450,11320,16190,1947
572,16319,12,0,0
573,284119,862,67,8
574,64757,139,10,1
575,84084,9,0,0
576,10140,1251,59,7
577,26229,43,10,1
578,9554,3021,657,42
579,10875,4,0,0
580,10007,395,13,2
581,1891,824,0,10
582,56922,349,8,1
583,5549,176,8,0
584,80746,105,13,1
585,27000,459,10,3
586,7535,916,94,23
587,10598,6404,2514,308
588,10575,1633,707,78
589,5272,143,0,0
590,10980,8213,10053,659
591,6320,27,0,0
592,4928,3292,603,95
593,57062,4722,1107,242
594,11103,5116,1305,772
595,2689,3,0,0
596,23173,303,17,1
597,2308,661,84,13
598,3219,344,75,7
599,11340,3924,963,63
600,116071,1118,103,10
601,375,312,125,9
602,55738,1054,40,10
603,5985,401,35,13
604,627,1029,6,0
605,4951,66,0,0
606,157506,460,7,8
607,57665,2,0,1
608,286075,1209,303,27
609,64969,1260,418,188
610,27373,219,25,1
611,3190,11381,11570,1639
612,55504,533,14,3
613,84894,966,19,10
614,128308,1156,424,649
615,740,1181,88,37
616,3691,3356,875,64
617,118460,578,16,5
618,51079,135,37,47
619,2273,2791,165,23
620,9659,1090,253,10
621,4809,2230,1800,907
622,9410,6620,1988,2415
623,8834,548,61,1
624,89885,1062,843,17
625,11035,945,88,24
626,2074,2284,183,44
627,56292,906,203,5
628,1785,1232,241,13
629,26413,512,3,1
630,8462,1297,48,4
631,9883,1610,438,21
632,8449,5542,1876,1760
633,30846,96,6,0
634,7412,3151,2682,441
635,16,2746,244,57
636,22806,3665,2650,110
637,84619,2524,512,58
638,8339,612,585,11
639,10902,107,0,10
640,9400,988,265,34
641,9401,766,67,4
642,55147,1510,146,15
643,23513,2393,253,12
644,64225,561,35,3
645,7086,808,321,54
646,5358,786,22,9
647,26240,999,143,10
648,116541,596,59,536
649,79446,1069,79,9
650,84518,82,0,1
651,6235,4796,941,1306
652,57410,1006,10,8
653,144108,21,0,0
654,2258,519,0,2
655,3945,1073,301,52
656,1655,3677,3453,1081
657,9416,1225,323,488
658,79590,912,79,59
659,54148,269,74,39
660,51375,583,41,4
661,8354,1769,348,76
662,8361,827,194,37
663,23607,2602,1396,69
664,2932,2256,1271,108
665,9627,978,70,1
666,1004,161,2,1
667,28513,1,0,0
668,11228,2175,241,10
669,5108,593,753,36
670,695,950,150,26
671,498,9738,3464,1015
672,9968,538,37,20
673,9412,3289,831,335
674,8481,4394,7566,484
675,9135,2078,898,28
676,175,18,0,0
677,3043,1077,133,1
678,11346,953,228,92
679,474168,4,0,0
680,7976,36,10,0
681,10189,2802,776,658
682,2072,4224,596,595
683,6950,9773,6998,1712
684,6184,8609,6327,1503
685,6176,7820,3469,2209
686,355,3083,1759,84
687,27159,114,61,1
688,54820,859,45,11
689,11461,660,320,13
690,9330,2774,369,49
691,57614,153,3,0
692,8453,13985,26872,2309
693,4925,1227,59,7
694,10250,8877,5133,2695
695,57727,622,94,7
696,865,1086,17,4
697,9139,1297,124,15
698,10152,999,557,41
699,170394,155,3,0
700,9491,1295,201,19
701,84708,1607,2586,49
702,10921,7088,6835,2289
703,10197,1306,245,45
704,112399,140,0,0
705,468,3381,960,61
706,22144,220,58,2
707,7267,93,0,0
708,1203,1060,250,9
709,292,2829,1716,1037
710,8775,1546,283,45
711,359845,8,0,0
712,84988,138,0,1
713,51776,1008,26,8
714,27023,410,50,4
715,55052,1795,338,612
716,6181,1976,359,527
717,6224,2877,1400,900
718,7277,2391,831,148
719,9070,3161,757,163
720,5936,2065,329,250
721,83939,4888,617,545
722,9343,7403,5396,2651
