id,role_0,role_1,role_2,role_3
80746,26,1379,303,22
27000,20,5093,167,23
7535,69,12652,1975,371
10598,167,34868,12043,1818
10575,188,35795,15521,2057
5272,37,7136,618,48
10980,319,40934,47453,3268
6320,35,2551,586,9
4928,92,17682,3678,508
57062,130,27395,6998,1387
11103,139,28515,5318,4273
2689,3,82,3,0
23173,16,2662,116,4
2308,74,13839,2344,357
3219,81,13337,3030,210
11340,103,15385,4906,347
116071,29,3662,369,37
375,97,12825,4368,288
55738,45,8712,942,48
5985,86,20871,3261,394
627,20,6155,181,9
4951,6,1121,12,3
157506,10,1945,16,29
57665,10,158,15,30
286075,61,6918,1650,180
64969,178,27930,8631,7122
27373,37,4028,612,54
3190,365,67239,57182,9248
55504,13,1989,68,10
84894,21,3729,183,27
128308,101,6926,1932,3118
740,110,14155,2632,3363
3691,83,16656,3157,246
118460,54,9370,1209,222
51079,94,6897,2858,1513
2273,42,10982,763,98
9659,102,13005,4931,220
4809,343,42684,40500,18153
9410,202,29447,8960,11341
8834,25,2650,285,15
89885,91,3684,4024,71
11035,113,21531,5703,625
2074,55,14141,1238,247
56292,37,2780,651,15
1785,137,23024,8887,429
26413,4,1143,5,1
8462,20,5755,175,15
9883,71,10009,2403,82
8449,183,25089,7677,8976
30846,24,3334,253,23
7412,444,67533,88445,9901
16,55,13881,1235,250
22806,161,19563,12190,690
84619,69,9961,2135,211
8339,244,22514,29171,475
10902,46,6517,666,369
9400,52,6513,1196,130
9401,22,3159,217,14
55147,42,7614,790,71
23513,60,15091,1687,83
64225,22,3606,219,12
7086,152,21835,10201,1275
5358,56,14009,1355,185
26240,48,7284,1056,72
116541,85,3964,545,3025
79446,31,5300,427,38
84518,17,1488,123,13
6235,155,24424,4556,7379
57410,36,9193,558,72
144108,12,2069,65,1
2258,8,2607,23,5
3945,155,25367,10788,1147
1655,447,70732,77746,21935
9416,205,25914,9562,11348
79590,117,16057,3168,3618
54148,112,11713,2872,3344
51375,18,3461,138,15
8354,65,10290,1706,374
8361,104,21367,4476,880
23607,116,15205,6227,443
2932,360,42570,62461,2159
9627,29,4732,373,33
1004,6,403,8,7
28513,1,5,0,0
11228,52,8799,1223,103
5108,269,22022,33651,2395
695,121,17716,6753,507
498,213,50544,17103,5475
9968,92,12852,3212,974
9412,106,13017,4090,1475
8481,272,23737,34483,2373
9135,81,11656,3124,116
175,11,1344,49,6
3043,40,5802,734,46
11346,171,18378,11924,2611
474168,1,5,0,0
7976,6,166,15,0
10189,250,44056,18315,12810
2072,103,21863,2580,2673
6950,289,51791,32506,9110
6184,262,47028,25866,8325
6176,251,40885,19052,12323
355,119,13832,6676,345
27159,21,666,205,5
54820,58,13328,1529,124
11461,181,14574,15137,1153
9330,61,13040,1586,244
57614,9,1247,27,9
8453,507,66741,116430,11841
4925,25,4381,272,28
10250,277,40623,25026,13200
57727,45,9889,890,100
865,43,8072,853,50
9139,36,5855,571,59
10152,182,23457,15554,917
170394,4,727,6,0
9491,50,6649,1130,95
84708,495,40829,120021,2244
10921,301,41229,33489,11661
10197,193,28461,17406,1122
112399,42,6038,791,70
468,87,13053,3482,259
22144,68,6592,2181,97
7267,30,5964,415,20
1203,49,5167,1128,48
292,333,52541,37115,18163
8775,56,9708,1310,230
359845,5,847,9,1
84988,45,5204,942,48
51776,50,9724,1162,63
27023,133,14429,8481,297
55052,101,8755,1859,3191
6181,191,39193,8592,9553
6224,259,46252,21656,11755
7277,215,40441,20446,2559
9070,94,16367,3655,716
5936,155,35818,8528,3407
83939,111,27421,2970,3135
9343,292,43141,28895,13591
94104,139,16969,1119,8472
8021,82,17771,2884,437
10097,159,26922,10924,1637
55197,44,11588,839,107
