,id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10
15248,728013,3,0,0,0,0,0,0,0,0,0,0
15249,388719,43,0,0,44,0,1,0,0,0,0,0
15250,4360,210,2,0,334,0,0,0,0,0,0,0
15251,18294,733,1,0,67,0,1,0,0,0,0,0
15252,8269,121,1,0,325,0,3,0,0,0,0,0
15253,67427,11,0,0,31,0,0,0,0,0,0,0
15254,9840,2213,184,1,1320,4,81,2,0,0,0,0
15255,22846,682,53,0,345,1,2,0,0,0,0,0
15256,162073,31,7,1,32,0,0,0,0,0,0,0
15257,4324,85,0,0,80,0,0,0,0,0,0,0
15258,140609,103,0,0,3,0,0,0,0,0,0,0
15259,83716,156,0,0,117,0,4,0,0,0,0,0
15260,818591,43,0,0,45,0,0,0,0,0,0,0
15261,148252,112,9,0,2200,0,2,0,0,0,0,0
15262,8074,35,1,0,30,0,0,1,0,0,0,0
15263,18642,16,0,0,29,0,1,0,0,0,0,0
15264,55879,20,0,0,8,0,0,0,0,0,0,0
15265,123803,101,3,0,539,0,2,0,0,0,0,0
15266,10882,119,23,0,920,0,2,0,0,0,0,0
15267,55852,60,0,0,1228,0,1,2,0,0,0,0
15268,7586,1013,492,0,1248,10,50,8,2,6,0,0
15269,108689,66,9,0,12,0,3,1,0,0,0,0
15270,80169,130,38,0,429,0,2,4,1,0,0,0
15271,533307,2,0,0,0,0,0,0,0,0,0,0
15272,2540020,50,0,0,1,0,3,0,0,0,0,0
15273,8345,491,25,1,1287,0,7,5,0,1,0,0
15274,7200,170,5,0,149,0,3,0,0,0,0,0
15275,57677,47,2,0,40,0,0,0,0,0,0,0
15276,643246,24,1,0,20,0,0,0,0,0,0,0
15277,374969,12,0,0,1,0,0,0,0,0,0,0
15278,117017,8,0,0,2,0,0,0,0,0,0,0
15279,124599,44,0,0,1044,0,3,0,0,0,0,0
15280,51463,68,10,0,107,0,1,0,0,0,0,0
15281,200504,37,0,0,55,0,1,0,0,0,0,0
15282,84191,1300,449,2,359,29,15,70,8,1,0,0
15283,51365,115,3,0,2614,0,2,1,0,0,0,0
15284,4325,46,0,0,36,0,0,0,0,0,0,0
15285,140870,108,2,0,542,0,1,0,0,0,0,0
15286,6619,2195,415,7,1519,9,49,4,0,0,0,0
15287,4606,48,0,0,1,0,0,0,0,0,0,0
15288,51398,44,0,0,2,0,0,0,0,0,0,0
15289,390594,5,0,0,8,0,0,0,0,0,0,0
15290,375686,125,1,0,246,0,3,0,0,0,0,0
15291,1258,121,3,0,265,0,6,0,0,0,0,0
15292,5961,1243,0,0,170,0,22,0,0,0,0,0
15293,5408,301,110,0,17,3,10,43,8,0,1,7
15294,750,455,38,1,1284,0,15,57,0,3,0,0
15295,14030,735,89,0,376,1,69,0,0,0,0,0
15296,116337,34,0,0,136,0,0,0,0,0,0,0
15297,25467,11,0,0,1,0,1,0,0,0,0,0
15298,4948,7,0,0,0,0,0,0,0,0,0,0
15299,729533,38,0,0,6,0,0,0,0,0,0,0
15300,23507,15,0,0,8,0,0,0,0,0,0,0
15301,284406,62,0,0,133,0,2,0,0,0,0,0
15302,55186,45,1,0,92,0,0,0,0,0,0,0
15303,6532,321,27,0,543,0,8,0,0,0,0,0
15304,26658,47,2,0,227,0,1,0,0,0,0,0
15305,10261,9,0,0,1042,0,2,0,0,0,0,0
15306,855934,2715,0,0,530,0,65,0,0,0,0,0
15307,79853,145,27,0,145,1,1,0,0,0,0,0
15308,851013,130,0,0,874,0,0,0,0,0,0,0
15309,57497,6,0,0,856,0,0,0,0,0,0,0
15310,139716,286,11,0,1390,0,5,5,0,1,0,0
15311,126299,129,0,0,21,0,1,0,0,0,0,0
15312,6582,2352,151,0,1670,5,45,2,0,0,0,0
15313,100360154,2,0,0,0,0,0,0,0,0,0,0
15314,10443,4053,866,3,2598,15,1311,10,6,6,0,0
15315,80017,126,0,0,1427,0,9,0,0,0,0,0
15316,83986,124,2,0,611,0,1,0,0,0,0,0
15317,116379,0,0,0,0,0,0,0,0,0,0,0
15318,4061,17,0,0,0,0,0,0,0,0,0,0
15319,55106,67,0,0,53,0,0,0,0,0,0,0
15320,114915,18,0,0,53,0,0,0,0,0,0,0
15321,55,2543,880,24,2174,2,88,0,0,0,0,0
15322,23086,128,11,0,1106,0,2,0,0,0,0,0
15323,55349,101,3,0,305,0,7,0,0,0,0,0
15324,570,74,12,0,123,0,4,0,0,0,0,0
15325,2868,296,42,1,2017,0,5,7,0,0,0,0
15326,28982,212,155,0,483,11,3,2,0,0,0,0
15327,642658,98,3,0,88,0,1,0,0,0,0,0
15328,2577,176,56,0,212,0,0,3,0,0,0,0
15329,26164,118,0,0,115,0,1,0,0,0,0,0
15330,232943,7069,1075,15,3333,42,359,80,14,9,0,1
15331,3077448,598,0,0,354,0,23,0,0,0,0,0
15332,113746,36,0,0,239,0,0,0,0,0,0,0
15333,644096,60,0,0,181,0,1,0,0,0,0,0
15334,58475,9,0,0,0,0,0,0,0,0,0,0
15335,4054,2288,1102,10,1557,27,22,1,1,0,0,0
15336,282004,5,0,0,0,0,0,0,0,0,0,0
15337,202658,24,0,0,0,0,0,0,0,0,0,0
15338,3681,1048,260,6,124,1,25,0,1,0,0,0
15339,55313,207,6,0,303,0,5,1,0,0,0,0
15340,51020,135,3,0,364,0,2,0,0,0,0,0
15341,3777,391,3,1,1115,0,5,4,0,1,0,0
15342,113893,2,0,0,0,0,0,0,0,0,0,0
15343,730668,73,0,0,225,0,0,0,0,0,0,0
15344,51308,73,1,0,138,0,0,0,0,0,0,0
15345,55591,342,54,0,2117,0,8,12,0,0,0,0
15346,850445,137,0,0,1349,0,4,0,0,0,0,0
15347,29236,2,0,0,0,0,0,0,0,0,0,0
15348,64412,13755,3,0,14020,0,3636,240,0,139,0,1
15349,20867,25,0,0,0,0,0,0,0,0,0,0
15350,10485,310,3,0,138,0,3,1,0,0,0,0
15351,134145,7,0,0,22,0,1,0,0,0,0,0
15352,54149,1249,104,0,647,0,15,0,0,0,0,0
15353,440568,1838,124,2,901,0,37,0,0,0,0,0
15354,33397,60,0,0,1,0,2,0,0,0,0,0
15355,284169,174,8,0,317,0,0,1,0,0,0,0
15356,90204,51,0,0,830,0,0,0,0,0,0,0
15357,348235,658,48,0,172,1,1,118,4,3,3,1
15358,3209,87,2,0,208,0,3,0,0,0,0,0
15359,11158,82,4,0,884,0,1,0,0,0,0,0
15360,91734,545,73,0,246,12,7,48,4,2,2,1
15361,8263,638,42,0,156,1,13,0,0,0,0,0
15362,1536,222,1,0,149,0,2,4,0,0,0,0
15363,25350,3,0,0,0,0,0,0,0,0,0,0
15364,4239,249,9,0,820,0,1,2,0,0,0,0
15365,8712,26,0,0,0,0,1,0,0,0,0,0
15366,854662,17,0,0,0,0,0,0,0,0,0,0
15367,10581,167,1,0,187,0,15,0,0,0,0,0
15368,160777,29,0,0,1296,0,3,0,0,0,0,0
15369,116643,1,0,0,0,0,0,0,0,0,0,0
15370,67530,5,0,0,0,0,0,0,0,0,0,0
15371,83462,15,0,0,0,0,0,0,0,0,0,0
15372,1366,65,10,0,147,0,0,0,0,0,0,0
15373,90952,0,0,0,0,0,0,0,0,0,0,0
15374,13001,26,0,0,7,0,0,0,0,0,0,0
15375,51092,29,0,0,19,0,0,0,0,0,0,0
15376,21406,138,16,0,214,0,1,1,0,0,0,0
15377,92092,753,240,0,2322,1,10,1,0,1,0,0
15378,66000,203,8,0,149,0,3,0,0,0,0,0
15379,9976,29,0,0,158,0,2,0,0,0,0,0
15380,6019,1,0,0,0,0,0,0,0,0,0,0
15381,3750,33,0,0,17,0,0,0,0,0,0,0
15382,56980,148,6,0,80,0,1,2,0,0,0,0
15383,347862,46,2,0,154,0,2,1,0,0,0,0
15384,7472,330,130,0,417,3,5,1,0,0,0,0
15385,55529,23,0,0,79,0,0,0,0,0,0,0
15386,165904,117,11,0,181,0,1,0,0,0,0,0
15387,1490,2769,811,7,1323,26,45,51,8,2,0,0
15388,340277,524,239,0,1025,7,21,24,4,3,0,0
15389,140694,1133,130,1,424,1,10,0,0,0,0,0
15390,57376,108,0,0,143,0,4,1,0,0,0,0
15391,2306,20,0,0,1,0,0,0,0,0,0,0
15392,8444,845,284,3,600,1,4,0,0,0,0,0
15393,80167,17,1,0,75,0,0,0,0,0,0,0
15394,161253,106,1,0,195,0,5,0,0,0,0,0
15395,2160,43,12,0,35,1,0,2,0,0,0,0
15396,1830,148,2,0,98,0,0,0,0,0,0,0
15397,64847,488,162,1,305,6,43,0,0,0,0,0
15398,135644,800,5,0,1556,0,43,3,0,1,0,0
15399,170591,119,17,1,30,0,1,8,1,3,0,0
15400,4317,829,51,1,66,0,3,0,0,0,0,0
15401,100506584,40,0,0,5,0,0,0,0,0,0,0
15402,74343,101,0,0,79,0,1,1,0,0,0,0
15403,822207,41,0,0,52,0,3,0,0,0,0,0
15404,89846,54,0,0,7,0,2,0,0,0,0,0
15405,227298,35,2,0,3,1,0,0,0,0,0,0
15406,6703,112,2,0,26,0,0,0,0,0,0,0
15407,850506,135,0,0,1362,0,3,0,0,0,0,0
15408,64240,111,5,0,373,0,0,0,0,0,0,0
15409,6051,286,39,0,651,0,7,1,0,0,0,0
15410,129138,234,1,0,219,0,3,0,0,0,0,0
15411,115399,20,0,0,5,0,0,0,0,0,0,0
15412,402665,227,26,0,52,4,3,0,0,0,0,0
15413,357,232,0,0,232,0,3,3,0,0,0,0
15414,37916,93,2,0,27,0,4,0,0,0,0,0
15415,343505,18,0,0,5,0,1,0,0,0,0,0
